Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,59,283226,283107,564
100,2,726,283183,283115,618
100,3,60,283213,283110,23
100,4,679,283208,283118,596
100,5,79,283165,283106,23
100,6,126,283198,283087,26
100,7,57,283233,283157,27
100,8,108,283214,283127,26
100,9,68,283187,283142,25
100,10,87,283212,283137,26
100,11,67,283407,283123,27
100,12,96,283338,283178,26
100,13,65,283391,283177,22
100,14,88,283267,283173,26
100,15,58,283146,283142,24
100,16,81,283169,283129,23
100,17,56,283258,283138,22
100,18,88,283248,283147,27
100,19,70,283212,283086,24
100,20,4,283264,283137,27
100,21,647,283282,283170,599
100,22,105,283269,283171,23
100,23,2,283351,283131,27
100,24,105,283241,283175,28
100,25,97,283394,283163,23
100,26,2,283242,283138,23
100,27,77,283209,283113,28
100,28,95,283270,283123,27
100,29,6,283184,283128,25
100,30,3,283215,283136,27
100,31,627,283251,283139,590
100,32,119,283213,283144,24
100,33,4,283275,283157,26
100,34,5,283282,283135,26
100,35,106,283250,283090,28
100,36,123,283186,283116,25
100,37,5,283146,283126,28
100,38,7,283276,283130,27
100,39,4,283176,283084,26
100,40,90,283177,283114,609
100,41,155,283196,283075,26
100,42,7,283228,283129,26
100,43,5,283200,283108,28
100,44,7,283210,283129,27
100,45,100,283215,283119,26
100,46,157,283209,283168,27
100,47,7,283307,283163,28
100,48,5,283227,283102,26
100,49,4,283266,283135,26
100,50,1,283186,283104,28
100,51,663,283208,283128,581
100,52,192,283207,283164,23
100,53,2,283233,283132,27
100,54,7,283222,283107,26
100,55,4,283238,283141,26
100,56,3,283169,283158,26
100,57,1,283214,283111,26
100,58,137,283219,283101,639
100,59,200,283244,283143,24
100,60,4,283218,283165,27
100,61,8,283344,283194,25
100,62,1,283381,283153,28
100,63,8,283193,283094,27
100,64,1,283227,283097,27
100,65,98,283231,283169,24
100,66,209,283172,283101,27
100,67,9,283273,283130,28
100,68,4,283195,283110,28
100,69,1,283228,283171,28
100,70,7,283231,283145,26
100,71,1,283403,283194,24
100,72,1,283402,283132,25
100,73,659,283278,283183,591
100,74,254,283242,283160,27
100,75,7,283224,283125,25
100,76,1,283246,283145,27
100,77,6,283273,283113,25
100,78,1,283277,283131,27
100,79,3,283223,283079,24
100,80,2,283234,283102,26
100,81,6,283182,283117,29
100,82,119,283185,283111,597
100,83,271,283214,283121,28
100,84,9,283180,283140,28
100,85,3,283267,283111,27
100,86,7,283188,283105,29
100,87,9,283253,283146,29
100,88,7,283330,283208,25
100,89,3,283221,283178,24
100,90,4,283230,283154,27
100,91,5,283206,283143,26
100,92,666,283199,283171,596
100,93,308,283227,283118,23
100,94,2,283363,283093,27
100,95,6,283207,283098,25
100,96,1,283281,283161,27
100,97,6,283217,283182,28
100,98,5,283163,283098,24
100,99,3,283205,283102,25
100,100,5,283217,283107,25
200,1,1,566464,566211,55
200,2,121,566409,566181,1181
200,3,360,566438,566200,55
200,4,10,566427,566281,54
200,5,9,566454,566209,55
200,6,57,566420,566241,1165
200,7,6,566433,566194,1179
200,8,32,566432,566157,1174
200,9,118,566548,566269,1225
200,10,437,566519,566368,48
200,11,2,566598,566234,53
200,12,10,566458,566247,54
200,13,22,566432,566380,57
200,14,9,566324,566300,54
200,15,5,566441,566235,56
200,16,104,566478,566216,52
200,17,423,566582,566362,56
200,18,10,566413,566266,54
200,19,8,566499,566204,55
200,20,4,566430,566208,57
200,21,7,566434,566278,59
200,22,6,566421,566278,59
200,23,8,566445,566239,56
200,24,692,566473,566384,1174
200,25,493,566423,566258,49
200,26,2,566563,566295,54
200,27,9,566755,566317,57
200,28,10,566376,566354,57
200,29,6,566622,566350,56
200,30,5,566479,566207,57
200,31,6,566446,566277,53
200,32,8,566435,566267,56
200,33,131,566592,566307,1202
200,34,544,566425,566286,52
200,35,6,566622,566279,54
200,36,9,566496,566540,54
200,37,9,566306,566288,57
200,38,1,566575,566185,59
200,39,7,566410,566217,56
200,40,6,566333,566251,52
200,41,6,566434,566296,55
200,42,5,566470,566250,51
200,43,691,566463,566246,1192
200,44,609,566449,566217,50
200,45,3,566381,566229,53
200,46,7,566592,566243,55
200,47,4,566423,566220,58
200,48,8,566467,566338,57
200,49,4,566461,566275,58
200,50,9,566319,566314,52
200,51,5,566461,566265,56
200,52,7,566388,566306,53
200,53,8,566509,566271,56
200,54,27,566516,566440,1225
200,55,131,566448,566252,1220
200,56,714,566445,566223,51
200,57,6,566407,566285,54
200,58,7,566708,566218,57
200,59,4,566431,566272,57
200,60,7,566499,566214,57
200,61,4,566561,566379,57
200,62,8,566473,566263,54
200,63,9,566546,566333,56
200,64,4,566438,566231,52
200,65,6,566503,566279,57
200,66,6,566323,566261,54
200,67,5,566438,566216,52
200,68,717,566422,566157,1193
200,69,775,566397,566245,56
200,70,11,566650,566383,54
200,71,7,566464,566238,54
200,72,6,566417,566301,59
200,73,7,566298,566254,57
200,74,5,566394,566227,58
200,75,7,566405,566192,50
200,76,2,566446,566146,54
200,77,2,566420,566262,53
200,78,9,566365,566254,59
200,79,9,566406,566206,55
200,80,9,566447,566303,53
200,81,9,566411,566234,52
200,82,27,566404,566348,1206
200,83,119,566484,566297,1222
200,84,889,566360,566142,48
200,85,3,566399,566245,54
200,86,9,566468,566329,55
200,87,6,566464,566227,54
200,88,2,566423,566404,58
200,89,7,566565,566234,58
200,90,9,566435,566308,53
200,91,8,566481,566286,58
200,92,9,566319,566186,51
200,93,6,566584,566332,55
200,94,2,566392,566332,54
200,95,6,566361,566352,52
200,96,6,566476,566293,53
200,97,8,566547,566194,55
200,98,5,566486,566297,53
200,99,102,566472,566233,1156
200,100,953,566376,566286,57
300,1,7,849665,849413,630
300,2,18,849753,849371,81
300,3,26,849670,849411,84
300,4,26,850203,849478,76
300,5,26,849875,849374,74
300,6,5,849716,849307,1101
300,7,15,849669,849294,73
300,8,20,849697,849432,75
300,9,27,849647,849313,78
300,10,25,849597,849288,75
300,11,38,849641,849514,1733
300,12,116,849708,849398,1686
300,13,1006,849848,849532,75
300,14,10,849602,849295,80
300,15,6,849670,849319,82
300,16,6,849694,849394,77
300,17,8,849684,849298,74
300,18,7,849571,849374,75
300,19,9,849516,849318,76
300,20,9,849578,849336,74
300,21,4,849571,849334,76
300,22,6,849754,849320,75
300,23,6,849768,849456,75
300,24,28,849981,849307,1657
300,25,743,849698,849522,1719
300,26,1055,849765,849442,80
300,27,10,849600,849332,77
300,28,9,849537,849323,83
300,29,8,849796,849501,76
300,30,7,849631,849462,75
300,31,7,850107,849390,74
300,32,8,849579,849360,75
300,33,10,849647,849369,75
300,34,10,849897,849425,77
300,35,6,849804,849380,75
300,36,8,849679,849323,75
300,37,9,849657,849539,75
300,38,9,849583,849469,80
300,39,141,849689,849334,1701
300,40,1139,849607,849359,78
300,41,10,849616,849499,79
300,42,8,849853,849284,84
300,43,8,849721,849361,77
300,44,9,849671,849430,74
300,45,5,849898,849393,75
300,46,9,849513,849398,74
300,47,6,850086,849465,71
300,48,2,849979,849489,76
300,49,8,849744,849389,75
300,50,8,849640,849383,75
300,51,8,849806,849391,74
300,52,7,849780,849364,78
300,53,6,849560,849407,75
300,54,122,849686,849583,1710
300,55,1209,849816,849336,76
300,56,9,849666,849352,80
300,57,8,849658,849366,83
300,58,4,849677,849381,76
300,59,7,849816,849520,76
300,60,6,849980,849381,75
300,61,9,849710,849564,75
300,62,9,849611,849349,75
300,63,9,849656,849510,77
300,64,9,849822,849482,72
300,65,2,849779,849386,75
300,66,9,849657,849336,75
300,67,9,849845,849343,78
300,68,6,849626,849296,74
300,69,7,849614,849428,74
300,70,110,849657,849349,1671
300,71,1292,849604,849416,74
300,72,7,849724,849297,73
300,73,5,849517,849360,82
300,74,6,849677,849330,76
300,75,7,849734,849322,75
300,76,7,849562,849303,74
300,77,7,849562,849542,75
300,78,9,849627,849319,75
300,79,9,849670,849299,78
300,80,9,849630,849561,75
300,81,8,849662,849492,72
300,82,4,849790,849339,75
300,83,7,849662,849349,82
300,84,9,849519,849467,75
300,85,8,849760,849329,75
300,86,6,849657,849325,73
300,87,738,849589,849322,1715
300,88,1377,849654,849659,78
300,89,10,850013,849496,82
300,90,9,849710,849382,80
300,91,8,849639,849539,77
300,92,8,849836,849404,75
300,93,6,849640,849323,75
300,94,9,849588,849327,75
300,95,9,849650,849467,75
300,96,9,849740,849500,76
300,97,7,849574,849299,71
300,98,2,849585,849325,75
300,99,9,849780,849664,75
300,100,9,849628,849238,81
400,1,29,1133011,1132437,104
400,2,28,1132856,1132427,105
400,3,23,1132671,1132625,2338
400,4,130,1132908,1132392,2377
400,5,1469,1132933,1132549,116
400,6,24,1132958,1132427,111
400,7,20,1132853,1132415,104
400,8,16,1133107,1132509,105
400,9,22,1132876,1132627,106
400,10,6,1132963,1132573,105
400,11,26,1132889,1132449,103
400,12,20,1132829,1132435,109
400,13,8,1133029,1132560,105
400,14,9,1133107,1132684,105
400,15,26,1133004,1132474,107
400,16,69,1133017,1132504,2365
400,17,18,1132767,1132570,2379
400,18,16,1132943,1132623,2386
400,19,117,1132928,1132713,2345
400,20,1677,1132916,1132400,103
